Film_title,Director,Cast,Average_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Fan,Eckhart Schmidt,"['Désirée Nosbusch', 'Bodo Staiger', 'Simone Brahmann', 'Jonas Vischer', 'Helga Tölle', 'Klaus Münster', 'Wilfried Blasberg', 'Sabine Kückelmann', 'Ian Moorse', 'Nikolai Hoffmann', 'Michael Fluehme', 'Oliver Betz', 'Christian Simon', 'Joachim Fuchsberger', 'Thomas Fuchsberger', 'Alexandra Beau', 'Susi Hermann']",3.57,"['Horror', 'Drama']",0.0994475138121547,['Germany'],German,['German'],The hero-worship that Simone has for a pop singer is built to a crescendo until she passes out when she finally sees him up-close in a crowd of fans. She is later shocked when he lets her know that he does not love her.,['Barbara Moorse Workshop'],0.0024711765044410534,0.013686527623790343,0.001377977913537104,0.00024233128834355827,0.011612475116124751,0.014266755142667552,0.01139128511391285,0.04445919044459191,0.05806237558062376,0.18358770183587703,0.21566025215660253,0.29263437292634376,0.08936076089360762,0.0789648307896483,0.002210197561156255,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee', 'Courtney Eaton', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer', 'Melita Jurišić', 'Gillian Jones', 'Joy Smithers', 'Antoinette Kellerman', 'Christina Koch', 'Jon Iles', 'Quentin Kenihan', 'Coco Jack Gillies', 'Chris Patton', 'Stephen Dunlevy', 'Richard Norton', 'Vincent Roxburgh', 'John Walton', 'Ben Smith-Petersen', 'Russ McCarroll', 'Judd Wild', 'Elizabeth Cunico', 'Greg Van Borssum', 'Robert Jones', 'Sebastian Dickins', 'Darren Mitchell', 'Crusoe Kurddal', 'Shyan Tonga', 'Cass Cumerford', 'Albert Lee', 'Riley Paton', 'Ripley Voeten', 'Maycn Van Borssum', 'Hunter Stratton Boland', 'Nathan Jenkins', 'Fletcher Gill', 'Whiley Toll', 'Ferdinand Hengombe', 'Gadaffi Davsab', 'Noddy Alfred', 'Jackson Hengombe', 'Christian Fane', 'Callum Gallagher', 'Abel Hofflin', 'Lee Perry', 'Hiroshi Kasuga']",4.18,"['Adventure', 'Science Fiction', 'Action']",0.13149171270718232,"['Australia', 'USA']",English,['English'],"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Kennedy Miller Mitchell', 'RatPac Entertainment']",0.47901424713420315,0.4126838361100845,0.3396563587473767,0.1165644171779141,0.002479806988752304,0.007447742466219168,0.0036489777334492795,0.022272494648978326,0.01789835763310388,0.09412567485878712,0.09733361309423683,0.2840609395330093,0.16691442942149526,0.3038179636219685,0.4112377864096561,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Suspiria,Dario Argento,"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci', 'Miguel Bosé', 'Barbara Magnolfi', 'Susanna Javicoli', 'Eva Axén', 'Rudolf Schündler', 'Udo Kier', 'Alida Valli', 'Joan Bennett', 'Margherita Horowitz', 'Jacopo Mariani', 'Fulvio Mingozzi', 'Franca Scagnetti', 'Renato Scarpa', 'Serafina Scorceletti', 'Giuseppe Transocchi', 'Renata Zamengo', 'Alessandra Capozzi', 'Salvatore Capozzi', 'Diana Ferrara', 'Cristina Latini', 'Alfredo Raino', 'Claudia Zaccari', 'Dario Argento', 'Giovanni di Bernardo', 'Daria Nicolodi', 'Marina Pierro', 'Lela Svasta']",3.93,['Horror'],0.10718232044198896,['Italy'],English,"['English', 'French', 'German', 'Italian', 'Latin']",An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,['Seda Spettacoli'],0.11898159580760354,0.273831344251198,0.08039657054510874,0.03987730061349693,0.002469820194385666,0.006341308418796774,0.006106945918599594,0.024801862280482336,0.0324434318782577,0.12039697401956476,0.15844031756118776,0.312653096176511,0.13662432367264066,0.19972191987957372,0.10847054182105907,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lost in Translation,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Akiko Takeshita', 'Kazuyoshi Minamimagoe', 'Kazuko Shibata', 'Take', 'Ryuichiro Baba', 'Akira Yamaguchi', 'Catherine Lambert', 'François du Bois', 'Tim Leffman', 'Gregory Pekar', 'Richard Allen', 'Giovanni Ribisi', 'Diamond Yukai', 'Jun Maki', 'Nao Asuka', 'Tetsuro Nakagawa', 'Kanako Nakazato', 'Fumihiro Hayashi', 'Hiroko Kawasaki', 'Daikon', 'Anna Faris', 'Asuka Shimuzu', 'Ikuko Takahashi', 'Koichi Tanaka', 'Hugo Codaro', 'Akiko Monou', 'Akimitsu Naruyama', 'Hiroshi Kawashima', 'Hiromix', 'Nobuhiko Kitamura', 'Nao Kitman', 'Akira', 'Kunichi Nomura', 'Yasuhiko Hattori', 'Shigekazu Aida', 'Kazuo Yamada', 'Akira Motomura', 'Osamu Shigematu', 'Takashi Fujii', 'Kei Takyo', 'Ryo Kondo', 'Yumi Ikeda', 'Yumika Saki', 'Yuji Okabe', 'Dietrich Bollmann', 'Georg O.P. Eschert', 'Mark Willms', 'Lisle Wilkerson', 'Nancy Steiner', 'Sam Arnold']",3.79,"['Drama', 'Comedy', 'Romance']",0.11049723756906078,"['UK', 'USA']",English,"['English', 'Japanese']","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","['American Zoetrope', 'Elemental Films']",0.30722503951014535,0.31624601654727197,0.18062313311090875,0.1165644171779141,0.005389298843306415,0.014083303851900136,0.010474962138411382,0.042710471897926455,0.04337809868433881,0.1440272473441175,0.15473156110456485,0.29171297805188545,0.11361633652104232,0.17987574156250669,0.26324596917603044,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Akira,Katsuhiro Otomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tarō Ishida', 'Mizuho Suzuki', 'Tessyo Genda', 'Koichi Kitamura', 'Yuriko Fuchizaki', 'Masaaki Okura', 'Takeshi Kusao', 'Kazuhiro Kamifuji', 'Tatsuhiko Nakamura', 'Fukue Itô', 'Yuka Ôno', 'Hiroshi Ôtake', 'Kazumi Tanaka', 'Masato Hirano', 'Masayuki Katô', 'Michihiro Ikemizu', 'Tarô Arakawa', 'Masami Toyoshima', 'Anthony Pulcini', 'Travis Weaver', 'Cody Mackenzie']",4.28,"['Animation', 'Action', 'Science Fiction']",0.13480662983425415,['Japan'],Japanese,['Japanese'],A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"['MBS', 'Sumitomo Corporation', 'TOHO', 'Studio Fuga', 'Studio Aoi', 'Kodansha', 'Bandai Entertainment', 'Tokyo Movie Shinsha']",0.16804269694106497,0.2184481301881322,0.12507886845419294,0.06441717791411043,0.0012951103756985356,0.0030330219852477275,0.0027683400447129367,0.012128758608405565,0.01588757509725813,0.06800161805563648,0.10171776914740786,0.2804713003207812,0.1875363105335089,0.32716019583134265,0.14683831996630684,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Things to Come,Mia Hansen-Løve,"['Isabelle Huppert', 'André Marcon', 'Roman Kolinka', 'Édith Scob', 'Sarah Le Picard', 'Solal Forte', 'Élise Lhomeau', 'Lionel Dray', 'Yves Heck', 'Grégoire Montana-Haroche', 'Lina Benzerti', 'Guy-Patrick Sainderichin', 'Rachel Arditi', 'Charline Bourgeois-Tacquet', 'Linus Westheuser', 'Clemens Melzer', 'Olivier Goinard', 'Jean-Charles Clichet', 'Pauline Prévost', 'Elie Wajeman', 'Julianne Binard', 'Orféo Campanella', 'Larissa Guist']",3.77,['Drama'],0.11049723756906078,"['Germany', 'France']",French,"['French', 'German', 'English']","Nathalie teaches philosophy at a high school in Paris. She is passionate about her job and particularly enjoys passing on the pleasure of thinking. Married with two children, she divides her time between her family, former students and her very possessive mother. One day, Nathalie’s husband announces he is leaving her for another woman. With freedom thrust upon her, Nathalie must reinvent her life.","['ARTE France Cinéma', 'Detailfilm', 'CG Cinéma', 'Auvergne-Rhône-Alpes Cinéma']",0.006693290983872393,0.01784014424422967,0.0031437524283061493,0.0005889570552147239,0.0015994750440880942,0.00369109625558791,0.005782717467087725,0.024402247467497848,0.04375999671902555,0.17528605995980806,0.2521428864372719,0.32268383709961856,0.10187425665422631,0.06877742689578804,0.005960102536349586,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Big Trouble in Little China,John Carpenter,"['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong', 'Kate Burton', 'Donald Li', 'Carter Huang Chia-Ta', 'Peter Kwong', 'James Pax', 'Suzee Pai', 'Chao-Li Chi', 'Jeff Imada', 'Rummel Mor', 'Craig Ng', 'June Kyoto Lu', 'Noel Toy', 'Jade Go', 'Jerry Hardin', 'James Lew', 'Jim Lau', 'Kenny Endoso', 'Stuart Quan', 'Gary Toy', 'George Cheung', 'Jimmy Jue', 'Noble Craig', 'Danny Kwan', 'Min Luong', 'Paul J.Q. Lee', 'Al Leong', 'Gerald Okamura', 'William S. Wong', 'Eric Lee', 'Yukio G. Collins', 'Bill M. Ryusaki', 'Brian Imada', 'Nathan Jung', 'Dan Inosanto', 'Vernon Rieta', 'Daniel Wong', 'Daniel Lee', 'Lia Chang', 'Diana Tanaka', 'Donna L. Noguchi', 'Shinko Isobe', 'John Carpenter', 'Cary-Hiroyuki Tagawa', 'Conan Lee', 'Leo Lee', 'Bill Saito', 'Phil Jordan', 'Dawna Lee Heising']",3.72,"['Comedy', 'Adventure', 'Fantasy', 'Action']",0.10828729281767957,['USA'],English,"['English', 'Cantonese']","Truck driver Jack Burton gets embroiled in a supernatural battle when his best friend Wang Chi's green-eyed fiancée is kidnapped by henchmen of the sorcerer Lo Pan, who must marry a girl with green eyes in order to return to the human realm.","['TAFT Entertainment Pictures', '20th Century Fox', 'SLM Production Group']",0.054637849169887565,0.08153556891979837,0.03141482042161071,0.011656441717791411,0.0023922534483789763,0.006796174569258456,0.007802008405508707,0.033072903923839346,0.04807342043310661,0.16627248854164967,0.2100942221642282,0.2928933761764178,0.0970167512110783,0.1355864011265339,0.044958527630036105,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Star Wars,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'Don Henderson', 'Richard LeParmentier', 'Leslie Schofield', 'Michael Leader', 'David Ankrum', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany Hillkurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Diana Sadley Way', 'Bill Weston', 'Fred Wood', 'Colin Higgins', 'Ron Tarr', 'Anthony Forrest', 'Frances Alfred Basil Tomlin', 'John Cannon', 'Larry Ward']",4.17,"['Adventure', 'Action', 'Science Fiction']",0.13149171270718232,['USA'],English,['English'],Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"['Lucasfilm Ltd.', '20th Century Fox']",0.580178504440669,0.4870134152608703,0.3873630307164936,0.09202453987730061,0.0013099629648978236,0.003393433220818075,0.0016492501136106388,0.0123542090424519,0.012723268076730574,0.09098344402295694,0.10358369242159461,0.3205954601806648,0.14423130395803174,0.3091759759982429,0.43514712773313957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Third Man,Carol Reed,"['Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Orson Welles', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee', 'Wilfrid Hyde-White', 'Alexis Chesnakov', 'Thomas Gallagher', 'Herbert Halbik', 'Hannah Norbert', 'Eric Pohlmann', 'Carol Reed', 'Annie Rosar', 'Frederick Schrecker', 'Hugo Schuster', 'Karl Stepanek', 'Theodore Gottlieb', 'Jenny Werner', 'Reed De Rouen', 'Geoffrey Keen', 'Robert Brown']",4.25,"['Mystery', 'Thriller']",0.11381215469613261,['UK'],English,"['English', 'Russian', 'German']","In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",['London Films Productions'],0.04391491792610568,0.12599220792472224,0.025974682264951865,0.010429447852760737,0.0009895085877549951,0.0023001159887549886,0.0024836010248949878,0.010714215503174947,0.017136191768074915,0.07568102437074462,0.12720755434105938,0.30598095687446347,0.198530809103479,0.2589760224375987,0.03730130037934148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Big Sick,Michael Showalter,"['Kumail Nanjiani', 'Zoe Kazan', 'Holly Hunter', 'Ray Romano', 'Anupam Kher', 'Zenobia Shroff', 'Adeel Akhtar', 'Bo Burnham', 'Aidy Bryant', 'Kurt Braunohler', 'Vella Lovell', 'Myra Lucretia Taylor', 'Jeremy Shamos', 'David Alan Grier', 'Ed Herbstman', 'Shenaz Treasury', 'Rebecca Naomi Jones', 'Kuhoo Verma', 'Mitra Jouhari', 'Celeste Arias', 'Shana Solomon', 'Jeff Blumenkrantz', 'Linda Emond', 'Holly Chou', 'Andrew Pang', 'Alison Cimmet', 'Lawrence Ballard', 'Shunori Ramanathan', 'Spencer House', 'Susham Bedi', 'Rahul Bedi', 'Matthew Cardarople', 'Myra Turley', 'William Stephenson', 'Marilyn Torres', 'Kerry Flanagan', ""Jack O'Connell"", 'Charles Gould', 'Isabel Shill', 'Lauren Patten', 'Keilly McQuail', 'Zach Cherry', 'Sophia Muller', 'Jack Corrigan']",3.76,"['Drama', 'Comedy', 'Romance']",0.13038674033149172,['USA'],English,"['English', 'Urdu']","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","['FilmNation Entertainment', 'Apatow Productions', 'Story Ink']",0.0735634542270322,0.07319971579208025,0.03423485972858632,0.0015460122699386502,0.002836653252709717,0.005916687997515831,0.0050438716120666865,0.025328460108514576,0.034560171877688214,0.1552060560029206,0.22028542774297236,0.36031790658346935,0.11078893369532833,0.07971583112681435,0.05825148978119729,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Jodorowsky's Dune,Frank Pavich,"['Alejandro Jodorowsky', 'H. R. Giger', 'Brontis Jodorowsky', 'Nicolas Winding Refn', 'Amanda Lear', 'Richard Stanley', 'Devin Faraci', 'Michel Seydoux', 'Chris Foss', 'Drew McWeeny', 'Gary Kurtz', ""Diane O'Bannon"", 'Jean-Paul Gibon', 'Jean-Pierre Vignau', ""Dan O'Bannon"", 'Orson Welles', 'David Carradine', 'Salvador Dalí', 'Jean Giraud', 'Douglas Trumbull']",3.96,['Documentary'],0.0972375690607735,"['France', 'USA']",English,"['English', 'Spanish', 'French', 'German']","Shot in France, England, Switzerland and the United States, this documentary covers director Alejandro Jodorowsky (El Topo, Holy Mountain, Santa Sangre) and his 1974 Quixotic attempt to adapt the seminal sci-fi novel Dune into a feature film. After spending 2 years and millions of dollars, the massive undertaking eventually fell apart, but the artists Jodorowsky assembled for the legendary project continued to work together. This group of artists, or his “warriors” as Jodorowsky named them, went on to define modern sci-fi cinema with such films as Alien, Blade Runner, Star Wars and Total Recall.","['Snowfort Pictures', 'Caméra One', 'Endless Picnic']",0.016434603708092826,0.02079545864613003,0.009380356692311045,0.0005766871165644172,0.00203514608809528,0.003698656803581857,0.004176473711221619,0.016121896402215653,0.02413860229706054,0.1207814960978286,0.19165767073105988,0.39828693790149894,0.12060452687277683,0.11849859309466083,0.01381239035481713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Out,Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford', 'Caleb Landry Jones', 'Marcus Henderson', 'Betty Gabriel', 'LaKeith Stanfield', 'Stephen Root', 'Lil Rel Howery', 'Ashley LeConte Campbell', 'John Wilmot', 'Caren L. Larkey', 'Julie Ann Doan', 'Rutherford Cravens', 'Geraldine Singer', 'Yasuhiko Oyama', 'Richard Herd', 'Erika Alexander', 'Jeronimo Spinx', 'Ian Casselberry', 'Trey Burvant', 'John Donohue', 'Sean Paul Braud', 'Zailand Adams', 'Keegan-Michael Key', 'Jordan Peele', 'Evan Shafran', 'Tahj Vaughans']",4.15,"['Horror', 'Mystery', 'Thriller']",0.112707182320442,['USA'],English,['English'],"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","['Monkeypaw Productions', 'Blumhouse Productions', 'QC Entertainment']",0.8422685319471597,0.5649988738696701,0.6839069537167137,0.10122699386503067,0.001109692316662107,0.003283907603378539,0.0019775204014882176,0.01349666483640047,0.012675928198037792,0.0873450226903888,0.09843233535773162,0.3290205683905553,0.1504424353517731,0.30221592485358406,0.7630304981353139,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Lawrence of Arabia,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit', 'I.S. Johar', 'Gamil Ratib', 'Michel Ray', 'John Dimech', 'Zia Mohyeddin', 'Howard Marion-Crawford', 'Jack Gwillim', 'Hugh Miller', 'John Barry', 'Bruce Beeby', 'Fred Bennett', 'John Bennett', 'Steve Birtles', 'Robert Bolt', 'Peter Burton', 'J.R.M. Chapman', 'Barbara Cole', 'Basil Dignam', 'Peter Dukelow', 'Mohamed El Habachi', 'Kenneth Fortescue', 'Harry Fowler', 'James Hayter', 'Jack Hedley', 'Rafael Hernández', 'Noel Howlett', 'Patrick Kavanagh', 'David Lean', 'Ian MacNaughton', 'Clive Morton', 'Daniel Moynihan', 'Henry Oscar', 'George Plimpton', 'Bryan Pringle', 'Ernie Rice', 'Robert Rietti', 'John Robinson', 'Norman Rossington', 'John Ruddock', 'Fernando Sancho', 'Stuart Saunders', 'Cyril Shaps', 'Jack Sharp', 'George Spence', 'Roy Stevens', 'Graham Tonbridge', 'Barry Warren']",4.38,"['Adventure', 'War', 'History']",0.24972375690607737,['UK'],English,"['English', 'Arabic', 'Portuguese', 'Turkish']","The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",['Horizon Pictures'],0.07116541792600944,0.1882877468309697,0.04276858210357135,0.03067484662576687,0.002729070588381013,0.004458995817627071,0.002877703782301915,0.014450449408976619,0.014896348990739326,0.06671153187149835,0.0870660220389997,0.2499225868781662,0.200526822098453,0.3563604685248568,0.05920430443430358,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Free Fire,Ben Wheatley,"['Cillian Murphy', 'Brie Larson', 'Armie Hammer', 'Sharlto Copley', 'Jack Reynor', 'Sam Riley', 'Michael Smiley', 'Noah Taylor', 'Babou Ceesay', 'Enzo Cilenti', 'Patrick Bergin', 'Tom Davis', 'Mark Monero', 'Sara Dee']",3.16,"['Action', 'Crime', 'Mystery']",0.0972375690607735,['UK'],English,['English'],"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.","['Rook Films', 'Protagonist Pictures', 'Film4 Productions']",0.02114271559181684,0.0365836814382613,0.007881901836559296,0.000254601226993865,0.006552450394748186,0.018819819930780506,0.023303075464029266,0.08193026320651303,0.11912650416918132,0.282346565506029,0.23651636265103276,0.17797539136111146,0.03060684065967903,0.02282272665689547,0.01984606836848457,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sing Street,John Carney,"['Ferdia Walsh-Peelo', 'Lucy Boynton', 'Jack Reynor', 'Ben Carolan', 'Mark McKenna', 'Kelly Thornton', 'Maria Doyle Kennedy', 'Aidan Gillen', 'Ian Kenny', 'Percy Chamburuka', 'Connor Hamilton', 'Karl Rice', 'Don Wycherley', 'Des Keogh', 'Kian Murphy', 'Dolores Mullally', 'Marcella Plunkett', 'Vera Nwabuwe', 'Tony Doyle', 'Keith McErlean', 'Art Campion', 'Lydia McGuinness', 'Kyle Bradley Donaldson', 'Paul Gibbons', 'Eva-Jane Gaffney', 'Paul Roe', 'Pádraig J. Dunne']",4.04,"['Romance', 'Drama', 'Music', 'Comedy']",0.11381215469613261,"['Ireland', 'UK', 'USA']",English,['English'],A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"['Likely Story', 'FilmWave', 'Distressed Films', 'Cosmo Films', 'PalmStar Media', 'Fís Éireann/Screen Ireland', 'Merkel Media']",0.075239712204848,0.11289923186712408,0.05346210084689065,0.03067484662576687,0.0013330460284358804,0.0030897450412513835,0.0029947883378559506,0.014539332162200658,0.021376214806671803,0.10155984646231497,0.16095891661705788,0.3357449901208507,0.15598099405059732,0.2024221263727635,0.06692899624227305,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Up,Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'John Ratzenberger', 'David Kaye', 'Elie Docter', 'Jeremy Leary', 'Mickie McGowan', 'Danny Mann', 'Donald Fullilove', 'Jess Harnell', 'Josh Cooley', 'Pete Docter', 'Mark Andrews', 'Bob Bergen', 'Brenda Chapman', 'Emma Coats', 'John Cygan', 'Paul Eiding', 'Tony Fucile', 'Teresa Ganzel', 'Sherry Lynn', 'Laraine Newman', 'Teddy Newton', 'Jeff Pidgeon', 'Valerie LaPointe', 'Jan Rabson', 'Bob Scott']",4.1,"['Animation', 'Adventure', 'Family', 'Comedy']",0.10386740331491713,['USA'],English,['English'],"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",['Pixar'],0.7549245010250214,0.32772756854151813,0.4161335836617154,0.02791411042944785,0.0008793682702505746,0.003038339308957124,0.002025559539304749,0.01572629889722724,0.01601846529914301,0.11021272200582037,0.1158121795613583,0.3325059270090863,0.12080148273253528,0.28297965737631703,0.5111843280811198,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blade Runner,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh', 'Daryl Hannah', 'William Sanderson', 'Brion James', 'Joe Turkel', 'Joanna Cassidy', 'James Hong', 'Morgan Paull', 'Kevin Thompson', 'John Edward Allen', 'Hy Pyke', 'Kimiko Hiroshige', 'Bob Okazaki', 'Carolyn DeMirjian', 'Ben Astar', 'Dawna Lee Heising', 'Alexis Rhee', 'Judith Burnett', 'Leo Gorcey Jr.', 'Sharon Hesky', 'Kelly Hine', 'Tom Hutchinson', 'Charles Knapp', 'Rose Mascari', 'Jiro Okazaki', 'Steve Pope', 'Robert Reiter']",4.1,"['Thriller', 'Drama', 'Science Fiction']",0.1281767955801105,"['USA', 'Hong Kong', 'UK']",English,"['English', 'German', 'Cantonese', 'Japanese', 'Hungarian']","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']",0.319284511734287,0.37547425019007336,0.21001877462865454,0.15644171779141103,0.0020578517452025306,0.00611147275172393,0.004703661131891498,0.023374968159902566,0.026113901272417025,0.10150760008289837,0.11933257677914248,0.2817239210201248,0.15239697731341703,0.2826770697432798,0.2677357843500316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
